word,definition,theme,score_distinct,score_total,flags,target_code,link
알 까기 전에 병아리 세지 마라,일이 성사되기도 전에 일에서 생길 이익을 따지는 것이 좋지 아니하다는 말. &lt;동의 속담&gt; ‘까기 전에 병아리 세지 마라’,health,1,2,,612985,https://opendict.korean.go.kr/dictionary/view?sense_no=612985
어린애 매도 많이 맞으면 아프다,조그만 손해도 여러 번 당하면 큰 손해가 됨을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘아이가 때리는 매도 많이 맞으면 아프다’,health,1,2,violent:gray,604999,https://opendict.korean.go.kr/dictionary/view?sense_no=604999
엎어진 김에 쉬어 간다,뜻하지 아니하던 기회를 만나 자기가 하려고 하던 일을 이룬다는 말. &lt;동의 속담&gt; ‘넘어진 김에 쉬어 간다’,health,1,2,,613267,https://opendict.korean.go.kr/dictionary/view?sense_no=613267
여름비는 잠비 가을비는 떡비,"여름에 비가 오면 낮잠을 자게 되고, 가을에 비가 오면 떡을 해 먹게 된다는 말.",health,1,2,,616467,https://opendict.korean.go.kr/dictionary/view?sense_no=616467
염병에 까마귀 소리,불길하여 귀에 아주 거슬리는 소리를 이르는 말. &lt;동의 속담&gt; ‘돌림병에 까마귀 울음’,health,1,2,sexual:gray,613606,https://opendict.korean.go.kr/dictionary/view?sense_no=613606
염병에 땀을 못 낼 놈,"염병을 앓으면서도 땀도 못 내고 죽을 놈이라는 뜻으로, 남을 욕하여 이르는 말.",health,1,2,violent:gray,613607,https://opendict.korean.go.kr/dictionary/view?sense_no=613607
염병 치른 놈의 대가리 같다,염병을 앓고 난 뒤에 머리카락이 없어지는 것처럼 아무것도 없게 되었음을 비유적으로 이르는 말.,health,1,2,sexual:gray,613605,https://opendict.korean.go.kr/dictionary/view?sense_no=613605
온몸의 힘줄이 용대기 뒤 줄이 되었다,"온몸의 힘줄이 임금이 거둥할 때 들고 나가는 용대기의 뒤 벌이줄처럼 팽팽하다는 뜻으로, 사람이 극도로 흥분한 경우를 비유적으로 이르는 말.",health,1,2,,613685,https://opendict.korean.go.kr/dictionary/view?sense_no=613685
왕지네 마당에 씨암탉 걸음,"왕지네가 가득한 마당에 씨암탉이 걷는 걸음걸이라는 뜻으로, 살이 쪄서 어기적어기적 걷는 모양을 비유적으로 이르는 말.",health,1,2,sexual:gray,605248,https://opendict.korean.go.kr/dictionary/view?sense_no=605248
음식은 한데 먹고 잠은 따로 자라,음식은 차별을 하지 말고 잠자리는 구별하라는 말.,health,1,2,sexual:gray,613712,https://opendict.korean.go.kr/dictionary/view?sense_no=613712
의질이 병,‘의심이 병’의 북한 속담.,health,1,2,,605376,https://opendict.korean.go.kr/dictionary/view?sense_no=605376
익은 감도 쉬여 가며 먹으랬다,‘무른 감도 쉬어 가면서 먹어라’의 북한 속담.,health,1,2,,613763,https://opendict.korean.go.kr/dictionary/view?sense_no=613763
입맛 없는 데 병아리 궁둥이만 따라다녀도 낫다,"입맛이 없을 때는 병아리를 따라다니며 달걀 생각만 하여도 좀 낫다는 뜻으로, 별로 도움이 안될 것에까지 헛된 기대를 걸게 되는 매우 어렵고 궁한 처지를 비유적으로 이르는 말.",health,1,2,violent:gray,614024,https://opendict.korean.go.kr/dictionary/view?sense_no=614024
입에 쓴 약이 병에는 좋다,자기에 대한 충고나 비판이 당장은 듣기에 좋지 아니하지만 그것을 달게 받아들이면 자기 수양에 이로움을 이르는 말. &lt;동의 속담&gt; ‘입에 쓴 약이 병을 고친다’,health,1,2,,613955,https://opendict.korean.go.kr/dictionary/view?sense_no=613955
입에 쓴 약이 병을 고친다,자기에 대한 충고나 비판이 당장은 듣기에 좋지 아니하지만 그것을 달게 받아들이면 자기 수양에 이로움을 이르는 말. &lt;동의 속담&gt; ‘입에 쓴 약이 병에는 좋다’,health,1,2,,613956,https://opendict.korean.go.kr/dictionary/view?sense_no=613956
자다가 벼락을 맞는다,급작스럽게 뜻하지 아니한 큰 봉변을 당함을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘자다가 생병 얻는[앓는] 것 같다’ ‘자다가 얻은 병’,health,1,2,,614071,https://opendict.korean.go.kr/dictionary/view?sense_no=614071
자다가 생병 얻는[앓는] 것 같다,급작스럽게 뜻하지 아니한 큰 봉변을 당함을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘자다가 벼락을 맞는다’ ‘자다가 얻은 병’,health,1,2,,614073,https://opendict.korean.go.kr/dictionary/view?sense_no=614073
자다가 얻은 병,급작스럽게 뜻하지 아니한 큰 봉변을 당함을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘자다가 벼락을 맞는다’ ‘자다가 생병 얻는[앓는] 것 같다’,health,1,2,,614074,https://opendict.korean.go.kr/dictionary/view?sense_no=614074
자다가 얻은 병이 이각(離却)을 못 한다,갑자기 얻은 병이나 화가 쉽게 떨어지지 아니함을 이르는 말.,health,1,2,,614075,https://opendict.korean.go.kr/dictionary/view?sense_no=614075
자다가 얻은 병인가 졸다가 얻은 병인가,너무나 갑자기 닥친 일이라 무엇이 무엇인지 갈피를 잡지 못함을 비유적으로 이르는 말.,health,1,2,violent:gray,614076,https://opendict.korean.go.kr/dictionary/view?sense_no=614076
자루 속의 송곳,"송곳은 자루에 있어도 밖으로 삐져나와 송곳의 위치를 알 수 있다는 뜻으로, 아무리 숨기려 하여도 숨길 수 없고 그 정체가 드러나는 경우를 비유적으로 이르는 말.",health,1,2,,605554,https://opendict.korean.go.kr/dictionary/view?sense_no=605554
자빠진 김에 쉬여 간다,‘엎어진 김에 쉬어 간다’의 북한 속담.,health,1,2,,614033,https://opendict.korean.go.kr/dictionary/view?sense_no=614033
잠꾸러기 집은 잠꾸러기만 모인다,어떤 집단이든 비슷한 유형의 사람이 모이게 마련임을 이르는 말.,health,1,2,,605631,https://opendict.korean.go.kr/dictionary/view?sense_no=605631
잠자리는 칠성판(이다),"잠자리에 드는 것이 칠성판을 지고 관 속에 드는 것과 같다는 뜻으로, 늘 죽음의 위협을 받아 언제 죽을지 모르는 상황 속에서 사는 비참한 신세를 비유적으로 이르는 말.",health,1,2,sexual:gray|violent:gray,614361,https://opendict.korean.go.kr/dictionary/view?sense_no=614361
장님 잠자나 마나,일을 하나 하지 않으나 별로 차이가 없다는 말. &lt;동의 속담&gt; ‘소경 잠자나 마나’ ‘곱사등이 짐 지나 마나’ ‘귀머거리 귀 있으나 마나’ ‘귀머거리 들으나 마나’ ‘봉사 안경 쓰나 마나’ ‘뻗정다리 서나 마나’ ‘앉은뱅이 앉으나 마나’,health,1,2,,614323,https://opendict.korean.go.kr/dictionary/view?sense_no=614323
